@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute STATIC numeric
@attribute SAME numeric
@attribute ADD numeric
@attribute DELETE numeric
@attribute SPLIT numeric
@attribute CONSISTENTCHANGE numeric
@attribute INCONSISTENTCHANGE numeric
@attribute cloneAge numeric
@attribute fragmentCount numeric
@attribute lastSTATIC numeric
@attribute lastSAME numeric
@attribute lastADD numeric
@attribute lastDELETE numeric
@attribute lastSPLIT numeric
@attribute lastCONSISTENTCHANGE numeric
@attribute lastINCONSISTENTCHANGE numeric
@attribute last_sourceLine numeric
@attribute last_fragmentCount numeric
@attribute last_uniOPERATORCount numeric
@attribute last_uniOperandCount numeric
@attribute last_totalOPERATORCount numeric
@attribute last_totalOperandCount numeric
@attribute last_totalMethodInvocCount numeric
@attribute last_libraryMethodInvocCount numeric
@attribute last_localMethodInvocCount numeric
@attribute last_otherMethodInvocCount numeric
@attribute last_totalParameterCount numeric
@attribute last_this_or_super numeric
@attribute last_assignment numeric
@attribute last_identifier numeric
@attribute last_if_then_statement numeric
@attribute last_if_then_else_statement numeric
@attribute last_switch_statement numeric
@attribute last_while_statement numeric
@attribute last_do_statement numeric
@attribute last_for_statement numeric
@attribute fromOrigin_sourceLineP numeric
@attribute fromOrigin_fragmentCountP numeric
@attribute fromOrigin_uniOPERATORCountP numeric
@attribute fromOrigin_uniOperandCountP numeric
@attribute fromOrigin_totalOPERATORCountP numeric
@attribute fromOrigin_totalOperandCountP numeric
@attribute fromOrigin_totalMethodInvocCountP numeric
@attribute fromOrigin_libraryMethodInvocCountP numeric
@attribute fromOrigin_localMethodInvocCountP numeric
@attribute fromOrigin_otherMethodInvocCountP numeric
@attribute fromOrigin_totalParameterCountP numeric
@attribute fromOrigin_this_or_superP numeric
@attribute fromOrigin_assignmentP numeric
@attribute fromOrigin_identifierP numeric
@attribute fromOrigin_if_then_statementP numeric
@attribute fromOrigin_if_then_else_statementP numeric
@attribute fromOrigin_switch_statementP numeric
@attribute fromOrigin_while_statementP numeric
@attribute fromOrigin_do_statementP numeric
@attribute fromOrigin_for_statementP numeric
@attribute fromOrigin_sourceLineN numeric
@attribute fromOrigin_fragmentCountN numeric
@attribute fromOrigin_uniOPERATORCountN numeric
@attribute fromOrigin_uniOperandCountN numeric
@attribute fromOrigin_totalOPERATORCountN numeric
@attribute fromOrigin_totalOperandCountN numeric
@attribute fromOrigin_totalMethodInvocCountN numeric
@attribute fromOrigin_libraryMethodInvocCountN numeric
@attribute fromOrigin_localMethodInvocCountN numeric
@attribute fromOrigin_otherMethodInvocCountN numeric
@attribute fromOrigin_totalParameterCountN numeric
@attribute fromOrigin_this_or_superN numeric
@attribute fromOrigin_assignmentN numeric
@attribute fromOrigin_identifierN numeric
@attribute fromOrigin_if_then_statementN numeric
@attribute fromOrigin_if_then_else_statementN numeric
@attribute fromOrigin_switch_statementN numeric
@attribute fromOrigin_while_statementN numeric
@attribute fromOrigin_do_statementN numeric
@attribute fromOrigin_for_statementN numeric
@attribute consistency numeric

@data
54,25,19,76,35,15,4,10,0,6,0,0.782057,1,1,1,1,1,1,0.7,2,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,45,23,192,92,40,17,23,0,18,1,1,0,1,1.111111,1,1.071429,1,0.76,0,5,16,7,4,0,1,0,2,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,7,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,45,23,192,92,40,17,23,0,18,1,1,0,1,1.111111,1,1.071429,1,0.78,0,5,16,7,4,0,1,0,2,2,3,0,0,0,0,1,3,2,0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,7,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,45,23,195,89,40,17,23,0,18,1,1,0,1,1.111111,1,1.071429,1,0.78,0,5,16,7,4,0,1,0,2,3,5,0,0,0,0,2,5,2,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,16,7,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,46,25,207,98,43,18,25,0,20,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,16,8,4,0,1,0,2,4,7,0,0,0,0,3,7,2,1,1,0,0,0,0,0,-1,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,1,0,1,0,5,16,14,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,43,29,190,116,43,18,25,0,20,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,16,8,4,0,1,0,2,9,13,0,0,0,0,4,13,2,1,1,0,0,0,0,0,1,0,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,1,2,2,2,1,1,1,0,1,0,5,16,14,4,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,45,23,195,89,40,17,23,0,18,1,1,0,1,1.111111,1,1.071429,1,0.78,0,5,16,7,4,0,1,0,2,9,14,0,0,0,0,5,14,2,0,1,0,0,0,0,1,-1,0,-1,1,-1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2,2,3,2,1,1,1,0,1,0,5,16,14,4,0,1,0,2,1,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
91,43,29,190,116,43,18,25,0,20,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,16,8,4,0,1,0,2,9,15,0,0,0,0,6,15,2,0,1,0,0,0,0,1,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,3,2,2,2,0,2,0,5,16,14,4,0,1,0,2,2,0,2,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
113,46,25,207,98,43,18,25,0,20,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,16,8,4,0,1,0,2,9,16,0,0,0,0,7,16,2,0,1,0,0,0,0,1,-1,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,2,2,2,0,2,0,5,16,23,4,0,1,0,2,2,0,2,2,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
113,46,25,207,98,43,18,25,0,20,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,16,8,4,0,1,0,2,9,16,0,0,0,0,7,16,2,0,1,0,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,3,0,3,3,4,3,2,2,2,0,2,0,5,16,23,4,0,1,0,2,2,0,2,2,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
